experiment_id,timestamp,seed,path_length,num_searchers,time_budget,sample_ratio,heterogeneous_terrain,key_position,success,key_found_by,total_time_used,sampling_time,execution_time,time_remaining,cells_searched,coverage_rate,time_efficiency,search_efficiency,selected_strategy,selection_confidence
mas_full_study_0061,2026-01-28T10:10:39.528816,1010,50,3,30.0,0.05,True,25,True,1,16.741818892386934,1.5,28.5,13.258181107613066,29,0.58,0.44193937025376884,1.0175438596491229,greedy_nearest,1.0
mas_full_study_0062,2026-01-28T10:10:39.530793,1011,50,3,30.0,0.05,True,11,False,,22.58808477043115,1.5,28.5,7.4119152295688515,50,1.0,0.0,1.7543859649122806,greedy_nearest,1.0
mas_full_study_0063,2026-01-28T10:10:39.530793,1012,50,3,30.0,0.05,True,49,True,2,9.094714358493865,1.5,28.5,20.905285641506133,3,0.06,0.6968428547168711,0.10526315789473684,greedy_nearest,1.0
mas_full_study_0064,2026-01-28T10:10:39.531759,1013,50,3,30.0,0.05,True,40,False,,21.811502637438117,1.5,28.5,8.188497362561883,50,1.0,0.0,1.7543859649122806,greedy_nearest,1.0
mas_full_study_0065,2026-01-28T10:10:39.532753,1014,50,3,30.0,0.05,True,22,False,,24.417112207675874,1.5,28.5,5.582887792324126,50,1.0,0.0,1.7543859649122806,greedy_nearest,1.0
mas_full_study_0066,2026-01-28T10:10:39.534281,1015,50,3,30.0,0.05,True,17,True,1,9.665776807115936,1.5,28.5,20.334223192884064,5,0.1,0.6778074397628021,0.17543859649122806,greedy_nearest,1.0
mas_full_study_0067,2026-01-28T10:10:39.534281,1016,50,3,30.0,0.05,True,10,True,2,17.571853992872555,1.5,28.5,12.428146007127445,21,0.42,0.41427153357091484,0.7368421052631579,greedy_nearest,1.0
mas_full_study_0068,2026-01-28T10:10:39.535824,1017,50,3,30.0,0.05,True,42,True,2,7.76075033952665,1.5,28.5,22.239249660473348,6,0.12,0.7413083220157782,0.21052631578947367,greedy_nearest,1.0
mas_full_study_0069,2026-01-28T10:10:39.535824,1018,50,3,30.0,0.05,True,35,True,0,27.19949334713707,1.5,28.5,2.8005066528629285,37,0.74,0.09335022176209762,1.2982456140350878,greedy_nearest,1.0
mas_full_study_0070,2026-01-28T10:10:39.536859,1019,50,3,30.0,0.05,True,35,True,2,20.88144444404858,1.5,28.5,9.11855555595142,36,0.72,0.30395185186504736,1.263157894736842,greedy_nearest,1.0
mas_full_study_0071,2026-01-28T10:10:39.537865,1020,50,3,30.0,0.05,True,41,False,,30.423218907664314,1.5,28.5,0.0,41,0.82,0.0,1.4385964912280702,greedy_nearest,1.0
